iter	Passed	Remaining
161	2654	161190
162	2669	161078
163	2684	161025
164	2704	161185
165	2721	161247
166	2740	161347
167	2761	161619
168	2778	161620
169	2797	161779
170	2816	161883
171	2834	161951
172	2852	162027
173	2870	162098
174	2888	162181
175	2906	162244
176	2922	162205
177	2939	162202
178	2957	162250
179	2974	162258
180	2991	162284
181	3010	162386
182	3027	162423
183	3045	162490
184	3063	162522
185	3081	162609
186	3096	162497
187	3111	162415
188	3127	162368
189	3142	162256
190	3158	162184
191	3172	162078
192	3185	161890
193	3200	161765
194	3216	161712
195	3233	161720
196	3248	161645
197	3264	161606
198	3279	161539
199	3293	161379
200	3309	161332
201	3323	161213
202	3339	161179
203	3355	161136
204	3373	161184
205	3390	161191
206	3406	161135
207	3421	161082
208	3437	161016
209	3451	160892
210	3468	160921
211	3486	160967
212	3497	160703
213	3513	160657
214	3529	160619
215	3545	160581
216	3560	160498
217	3576	160461
218	3594	160540
219	3610	160497
220	3625	160425
221	3641	160397
222	3656	160311
223	3674	160355
224	3690	160332
225	3707	160325
226	3724	160329
227	3739	160274
228	3754	160216
229	3771	160199
230	3787	160173
231	3804	160164
232	3824	160298
233	3842	160373
234	3859	160367
235	3871	160161
236	3887	160146
237	3902	160081
238	3919	160073
239	3937	160131
240	3955	160179
241	3972	160166
242	3988	160140
243	4005	160167
244	4023	160198
245	4042	160302
246	4058	160272
247	4075	160263
248	4090	160204
249	4105	160115
250	4120	160044
251	4134	159925
252	4149	159878
253	4165	159828
254	4181	159804
255	4199	159855
256	4218	159907
257	4231	159784
258	4250	159851
259	4266	159813
260	4282	159806
261	4302	159921
262	4327	160208
263	4343	160200
264	4360	160191
265	4378	160225
266	4394	160188
267	4411	160186
268	4426	160139
269	4445	160215
270	4465	160323
271	4485	160410
272	4502	160408
273	4521	160483
274	4539	160550
275	4556	160531
276	4572	160501
277	4589	160510
278	4606	160483
279	4622	160464
280	4647	160733
281	4669	160908
282	4693	161147
283	4715	161324
284	4734	161386
285	4755	161517
286	4775	161620
287	4795	161722
288	4817	161870
289	4843	162157
290	4866	162357
291	4883	162350
292	4898	162299
293	4915	162287
294	4933	162302
295	4951	162335
296	4967	162303
297	4983	162251
298	5022	162959
299	5045	163123
300	5068	163312
301	5093	163549
302	5116	163754
303	5137	163850
304	5155	163870
305	5173	163906
306	5190	163873
307	5207	163861
308	5221	163753
309	5236	163686
310	5252	163644
311	5267	163578
312	5284	163547
313	5298	163443
314	5313	163377
315	5329	163320
316	5346	163315
317	5362	163266
318	5377	163193
319	5394	163186
320	5410	163153
321	5424	163044
322	5441	163015
323	5457	162997
324	5473	162953
325	5493	163006
326	5513	163087
327	5531	163107
328	5547	163078
329	5565	163081
330	5584	163145
331	5604	163197
332	5623	163238
333	5642	163303
334	5658	163264
335	5675	163230
336	5691	163196
337	5707	163150
338	5722	163071
339	5738	163027
340	5755	163035
341	5771	162976
342	5787	162946
343	5806	162977
344	5822	162952
345	5843	163042
346	5859	163011
347	5876	162983
348	5896	163050
349	5914	163078
350	5932	163073
351	5948	163029
352	5965	163019
353	5980	162965
354	5997	162943
355	6013	162907
356	6028	162848
357	6043	162780
358	6059	162715
359	6075	162701
360	6091	162646
361	6106	162581
362	6121	162521
363	6139	162531
364	6156	162525
365	6172	162462
366	6187	162407
367	6207	162461
368	6224	162448
369	6241	162439
370	6258	162437
371	6273	162370
372	6289	162334
373	6303	162236
374	6317	162156
375	6334	162137
376	6348	162041
377	6362	161961
378	6376	161859
379	6392	161838
380	6410	161855
381	6425	161787
382	6440	161725
383	6458	161740
384	6474	161703
385	6491	161670
386	6506	161617
387	6526	161674
388	6543	161657
389	6558	161604
390	6575	161600
391	6593	161610
392	6609	161563
393	6627	161580
394	6644	161577
395	6661	161561
396	6678	161540
397	6697	161575
398	6713	161553
399	6730	161539
400	6748	161536
401	6755	161299
402	6771	161250
403	6788	161233
404	6805	161224
